ダウンロードした時刻：2025/01/27 11:49:35

,那覇,那覇,那覇
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2020/1,18.7,8,1
2020/2,18.7,8,1
2020/3,20.1,8,1
2020/4,19.8,8,1
2020/5,24.8,8,1
2020/6,28.1,8,1
2020/7,29.3,8,1
2020/8,29.4,8,1
2020/9,27.7,8,1
2020/10,25.8,8,1
2020/11,23.4,8,1
2020/12,19.2,8,1
2021/1,16.8,8,1
2021/2,18.5,8,1
2021/3,20.8,8,1
2021/4,21.7,8,1
2021/5,25.8,8,1
2021/6,27.1,8,1
2021/7,28.8,8,1
2021/8,28.7,8,1
2021/9,28.8,8,1
2021/10,26.0,8,1
2021/11,21.8,8,1
2021/12,18.9,8,1
2022/1,17.7,8,1
2022/2,17.2,8,1
2022/3,20.4,8,1
2022/4,22.7,8,1
2022/5,23.5,8,1
2022/6,27.0,8,1
2022/7,29.4,8,1
2022/8,29.9,8,1
2022/9,28.3,8,1
2022/10,26.0,8,1
2022/11,23.6,8,1
2022/12,18.6,8,1
2023/1,17.5,8,1
2023/2,19.0,8,1
2023/3,20.0,8,1
2023/4,22.5,8,1
2023/5,24.3,8,1
2023/6,27.2,8,1
2023/7,29.6,8,1
2023/8,28.6,8,1
2023/9,28.7,5,1
2023/10,26.0,8,1
2023/11,22.6,8,1
2023/12,19.7,8,1
2024/1,17.9,8,1
2024/2,19.8,8,1
2024/3,19.5,8,1
2024/4,23.9,8,1
2024/5,24.7,8,1
2024/6,26.9,8,1
2024/7,30.5,8,1
2024/8,30.2,8,1
2024/9,28.8,8,1
2024/10,27.6,8,1
2024/11,23.9,5,1
2024/12,18.6,8,1
